subject,ave,sd,block,triplet,position,shape_num,RT,RT_trimmed,log_RT_trimmed,change?,block>12,block>18,block>6,"1-avg(2,3)","log_1-avg(2,3)",odd_even
1,463.3090278,298.4766328,4,3,1,7,1092,1060.262293,6.966271603,1,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,4,3,2,8,1032,1032,6.939253946,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,4,3,3,9,931,931,6.836259277,0,FALSE,FALSE,FALSE,78.7622934,0.078514991,e
1,463.3090278,298.4766328,5,8,1,22,1063,1060.262293,6.966271603,1,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,5,8,2,23,904,904,6.80682936,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,5,8,3,24,939,939,6.844815479,0,FALSE,FALSE,FALSE,138.7622934,0.140449183,o
1,463.3090278,298.4766328,5,5,1,13,961,961,6.867974409,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,5,5,2,14,864,864,6.761572769,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,5,5,3,15,779,779,6.658011046,0,FALSE,FALSE,FALSE,139.5,0.158182502,e
1,463.3090278,298.4766328,5,2,1,4,461,461,6.133398043,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,5,2,2,5,340,340,5.828945618,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,5,2,3,6,400,400,5.991464547,0,FALSE,FALSE,FALSE,91,0.223192961,o
1,463.3090278,298.4766328,5,3,1,7,394,394,5.976350909,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,5,3,2,8,371,371,5.916202063,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,5,3,3,9,343,343,5.837730447,0,FALSE,FALSE,FALSE,37,0.099384654,e
1,463.3090278,298.4766328,5,1,1,1,342,342,5.834810737,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,5,1,2,2,362,362,5.891644212,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,5,1,3,3,303,303,5.713732806,0,FALSE,FALSE,FALSE,9.5,0.032122228,o
1,463.3090278,298.4766328,5,7,1,19,342,342,5.834810737,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,5,7,2,20,310,310,5.736572297,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,5,7,3,21,336,336,5.81711116,0,FALSE,FALSE,FALSE,19,0.057969008,e
1,463.3090278,298.4766328,5,4,1,10,273,273,5.609471795,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,5,4,2,11,248,248,5.513428746,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,5,4,3,12,215,215,5.370638028,0,FALSE,FALSE,FALSE,41.5,0.167438408,o
1,463.3090278,298.4766328,5,6,1,16,242,242,5.488937726,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,5,6,2,17,210,210,5.347107531,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,5,6,3,18,250,250,5.521460918,0,FALSE,FALSE,FALSE,12,0.054653502,e
1,463.3090278,298.4766328,6,1,1,1,250,250,5.521460918,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,6,1,2,2,250,250,5.521460918,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,6,1,3,3,250,250,5.521460918,0,FALSE,FALSE,FALSE,0,0,o
1,463.3090278,298.4766328,6,6,1,16,218,218,5.384495063,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,6,6,2,17,214,214,5.365976015,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,6,6,3,18,240,240,5.480638923,0,FALSE,FALSE,FALSE,-9,-0.038812406,e
1,463.3090278,298.4766328,6,4,1,10,200,200,5.298317367,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,6,4,2,11,209,209,5.342334252,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,6,4,3,12,270,270,5.598421959,0,FALSE,FALSE,FALSE,-39.5,-0.172060739,o
1,463.3090278,298.4766328,6,7,1,19,212,212,5.356586275,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,6,7,2,20,1740,1060.262293,6.966271603,1,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,6,7,3,21,309,309,5.733341277,0,FALSE,FALSE,FALSE,-472.6311467,-0.993220165,e
1,463.3090278,298.4766328,6,3,1,7,240,240,5.480638923,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,6,3,2,8,240,240,5.480638923,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,6,3,3,9,239,239,5.476463552,0,FALSE,FALSE,FALSE,0.5,0.002087686,o
1,463.3090278,298.4766328,6,8,1,22,270,270,5.598421959,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,6,8,2,23,243,243,5.493061443,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,6,8,3,24,647,647,6.472346295,0,FALSE,FALSE,FALSE,-175,-0.38428191,e
1,463.3090278,298.4766328,6,5,1,13,494,494,6.202535517,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,6,5,2,14,425,425,6.052089169,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,6,5,3,15,489,489,6.192362489,0,FALSE,FALSE,FALSE,37,0.080309688,o
1,463.3090278,298.4766328,6,2,1,4,372,372,5.918893854,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,6,2,2,5,406,406,6.00635316,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,6,2,3,6,338,338,5.823045895,0,FALSE,FALSE,FALSE,0,0.004194327,e
1,463.3090278,298.4766328,7,1,1,1,367,367,5.905361848,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,7,1,2,2,401,401,5.993961427,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,7,1,3,3,457,457,6.124683391,0,FALSE,FALSE,TRUE,-62,-0.153960561,o
1,463.3090278,298.4766328,7,6,1,16,459,459,6.12905021,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,7,6,2,17,3329,1060.262293,6.966271603,1,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,7,6,3,18,461,461,6.133398043,0,FALSE,FALSE,TRUE,-301.6311467,-0.420784613,e
1,463.3090278,298.4766328,7,8,1,22,361,361,5.888877958,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,7,8,2,23,333,333,5.80814249,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,7,8,3,24,332,332,5.805134969,0,FALSE,FALSE,TRUE,28.5,0.082239229,o
1,463.3090278,298.4766328,7,7,1,19,750,750,6.620073207,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,7,7,2,20,459,459,6.12905021,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,7,7,3,21,399,399,5.988961417,0,FALSE,FALSE,TRUE,321,0.561067393,e
1,463.3090278,298.4766328,7,5,1,13,455,455,6.120297419,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,7,5,2,14,364,364,5.897153868,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,7,5,3,15,337,337,5.82008293,0,FALSE,FALSE,TRUE,104.5,0.26167902,o
1,463.3090278,298.4766328,7,4,1,10,335,335,5.814130532,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,7,4,2,11,583,583,6.368187186,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,7,4,3,12,456,456,6.12249281,0,FALSE,FALSE,TRUE,-184.5,-0.431209466,e
1,463.3090278,298.4766328,7,3,1,7,489,489,6.192362489,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,7,3,2,8,434,434,6.073044534,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,7,3,3,9,339,339,5.826000107,0,FALSE,FALSE,TRUE,102.5,0.242840169,o
1,463.3090278,298.4766328,7,2,1,4,369,369,5.910796644,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,7,2,2,5,279,279,5.631211782,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,7,2,3,6,301,301,5.707110265,0,FALSE,FALSE,TRUE,79,0.241635621,e
1,463.3090278,298.4766328,8,4,1,10,371,371,5.916202063,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,8,4,2,11,312,312,5.743003188,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,8,4,3,12,307,307,5.726847748,0,FALSE,FALSE,TRUE,61.5,0.181276595,o
1,463.3090278,298.4766328,8,5,1,13,323,323,5.777652323,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,8,5,2,14,335,335,5.814130532,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,8,5,3,15,334,334,5.811140993,0,FALSE,FALSE,TRUE,-11.5,-0.034983439,e
1,463.3090278,298.4766328,8,3,1,7,302,302,5.710427017,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,8,3,2,8,248,248,5.513428746,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,8,3,3,9,250,250,5.521460918,0,FALSE,FALSE,TRUE,53,0.192982185,o
1,463.3090278,298.4766328,8,6,1,16,310,310,5.736572297,0,FALSE,FALSE,TRUE,,,e
